Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/10/2013,1,Mobile,Google,Reach,Display,AMS,Reach,599.59,7388
1/10/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,44.66,506
1/10/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,1.78,26
1/11/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,14.12,10
1/11/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,47.72,38
1/12/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,82.54,172
1/12/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,3.96,4
1/12/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,46.84,42
1/13/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,30.42,242
1/13/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,25.78,152
1/14/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1179.32,4842
1/14/2013,1,Tablet,Google,Reach,Display,Global,Reach,272.16,216
1/15/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,116.28,200
1/15/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1138.28,4726
1/15/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,603.74,3990
1/15/2013,1,Tablet,Google,Reach,Display,Global,Reach,194.9,162
1/16/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,6920.92,36764
1/16/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,2.54,8
1/17/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,72.66,40
1/17/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,11.52,6
1/17/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,88.36,472
1/18/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,95.26,68
1/18/2013,1,Desktop,Google,Reach,Display,Global,Reach,310.98,178
1/18/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,553.94,3996
1/18/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,89.62,508
1/19/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,6324.82,36798
1/19/2013,1,Desktop,Google,Reach,Display,Global,Reach,294.32,168
1/19/2013,1,Mobile,Google,Reach,Display,Global,Reach,630.58,776
1/19/2013,1,Tablet,Google,Reach,Display,AMS,Reach,156.124,2596
1/19/2013,1,Unknown,Google,Reach,Display,Global,Reach,3.92,2
1/20/2013,1,Mobile,Google,Reach,Display,Global,Reach,547.02,732
1/21/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1681.28,6058
1/22/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1710.14,5808
1/22/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4390.674,21152
1/22/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,222.58,1916
1/22/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,37.38,24
1/22/2013,1,Tablet,Google,Reach,Display,AMS,Reach,138.96,2162
1/22/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,3.18,24
1/1/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1550.86,6872
1/2/2013,1,Desktop,Google,Reach,Display,AMS,Reach,4648.09,19548
1/2/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,85.58,100
1/2/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,229.06,2162
1/3/2013,1,Mobile,Google,Reach,Display,AMS,Reach,825.15,11640
1/3/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,19.58,16
1/4/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,2653.54,16826
1/4/2013,1,Desktop,Google,Reach,Display,AMS,Reach,3489.744,17502
1/4/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,297.72,2544
1/4/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,146.82,884
1/5/2013,1,Mobile,Google,Reach,Display,AMS,Reach,1137.16,12080
1/5/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,12.48,12
1/5/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,51.1,252
1/5/2013,1,Unknown,Google,Reach,Display,AMS,Reach,0.26,2
1/6/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,870.66,4954
1/6/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,142.96,892
1/7/2013,1,Mobile,Google,Reach,Display,AMS,Reach,912.91,9630
1/7/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,44.34,236
1/7/2013,1,Tablet,Google,Reach,Display,AMS,Reach,233.922,3480
1/8/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1927.62,6862
1/8/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1148.68,4402
1/8/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,105.44,622
1/9/2013,1,Desktop,Google,Reach,Display,AMS,Reach,5871.566,23116
1/9/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,12.34,82
1/9/2013,1,Tablet,Google,Reach,Display,AMS,Reach,224.644,3364
